label,ADJ,ADP,ADV,AUX,CONJ,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,SPACE,length
0,58,58,46,43,0,20,83,2,148,8,40,64,15,125,17,3,109,6,45,801
0,66,92,60,44,0,37,143,2,171,10,25,53,30,151,21,3,98,0,35,964
0,56,57,46,46,0,25,63,4,97,11,20,45,41,108,19,0,60,0,37,669
0,80,74,57,40,0,27,108,1,167,12,18,28,32,105,16,3,90,0,47,837
0,80,79,55,54,0,39,123,3,148,6,19,54,33,109,14,1,89,0,50,889
0,61,83,40,39,0,27,88,0,148,8,39,44,49,82,13,0,95,1,25,791
0,60,60,54,32,0,21,94,0,140,1,19,39,43,128,17,1,92,0,41,776
0,42,37,34,28,0,12,58,0,95,6,17,18,42,84,8,0,42,0,25,496
0,51,53,36,28,0,13,66,1,96,18,20,20,27,63,9,0,57,0,25,552
0,77,98,41,21,0,23,92,0,170,11,18,13,56,78,12,0,75,1,22,772
0,25,22,15,8,0,17,30,0,58,8,9,5,72,73,4,0,32,1,11,361
0,22,29,15,16,0,8,45,3,83,8,11,15,18,74,8,1,35,2,25,378
0,80,68,32,30,0,33,83,0,136,4,24,35,74,115,15,0,67,1,34,738
0,40,32,45,52,0,16,59,3,68,6,22,50,19,98,15,0,56,0,33,548
0,65,65,29,42,0,14,84,1,121,5,19,28,44,95,17,1,59,1,25,657
0,40,62,54,35,0,20,81,7,121,7,17,38,23,94,19,2,90,0,30,681
0,42,59,41,25,0,14,65,0,119,12,8,26,19,86,17,1,68,1,19,574
0,68,83,52,71,0,38,146,1,200,5,29,74,69,174,27,0,105,1,51,1131
0,55,56,52,27,0,32,76,0,134,2,21,30,34,102,14,0,77,0,33,688
0,35,40,21,8,0,6,44,1,73,3,8,20,25,60,6,1,46,1,23,389
0,57,65,54,45,0,21,96,3,135,6,36,60,82,249,20,0,116,0,52,1022
0,48,47,27,33,0,11,69,0,101,4,17,26,32,79,9,0,49,0,25,530
0,128,148,120,124,0,47,190,4,268,14,75,100,75,261,39,0,192,0,78,1701
0,65,79,50,36,0,35,97,4,173,13,29,41,74,155,18,0,98,1,43,926
0,61,72,49,32,0,22,100,1,160,9,28,26,41,95,18,0,89,0,45,771
0,57,55,38,33,0,26,73,0,125,9,17,22,90,116,17,0,67,0,35,686
0,51,43,37,37,0,24,55,3,101,5,15,33,14,110,9,0,56,0,18,573
0,45,62,35,26,0,14,75,1,108,3,15,20,14,52,8,0,43,0,21,509
0,126,144,96,53,0,34,164,1,286,18,50,68,84,163,34,0,164,0,55,1433
0,41,27,24,34,0,24,69,1,86,8,9,25,6,50,3,2,41,0,19,442
0,66,69,26,34,0,20,59,0,102,5,17,20,46,67,8,0,63,0,21,582
0,39,63,41,31,0,22,76,1,114,6,16,34,19,80,11,0,62,0,23,572
0,40,46,34,21,0,12,63,2,93,11,6,12,33,61,7,1,39,0,20,465
0,90,75,54,57,0,41,99,1,151,7,27,40,56,76,15,1,72,0,50,852
0,57,55,46,50,0,22,72,2,113,9,23,43,44,93,17,1,68,0,27,688
